INFO  - 2017-04-29 17:45:48.502; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/conf/elevate.xml
INFO  - 2017-04-29 17:45:48.529; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-04-29 17:45:48.530; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@273e94d5[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-04-29 17:45:48.530; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-04-29 17:45:48.551; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/scurrae/Desktop/mall/solr-4.7.2/example
INFO  - 2017-04-29 17:45:48.552; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-04-29 17:45:48.587; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=56 
INFO  - 2017-04-29 17:45:48.588; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-04-29 17:45:48.588; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-04-29 17:45:48.589; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-04-29 17:45:48.589; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2017-04-29 17:45:48.589; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2017-04-29 17:45:48.589; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2017-04-29 17:45:48.600; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-04-29 17:45:48.603; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@273e94d5[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-04-29 17:51:21.753; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2017-04-29 17:51:21.754; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/scurrae/Desktop/mall/solr-4.7.2/example/solr-webapp/webapp/},/home/scurrae/Desktop/mall/solr-4.7.2/example/webapps/solr.war
INFO  - 2017-04-29 17:51:22.761; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1427040229
INFO  - 2017-04-29 17:51:22.761; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@1ec4930a
